card_id,register_date,member_points,customer_id
1,6/23/2023,0,1
2,2/6/2023,0,2
3,6/10/2023,0,3
4,2/15/2023,0,4
5,7/12/2023,0,5
6,6/17/2023,0,6
7,6/22/2023,0,7
8,2/8/2023,0,8
9,8/3/2023,0,9
10,7/28/2023,0,10
11,5/27/2023,0,11
12,3/25/2023,0,12
13,8/11/2023,0,13
14,2/15/2023,0,14
15,4/7/2023,0,15
16,2/5/2023,0,16
17,7/6/2023,0,17
18,3/7/2023,0,18
19,8/6/2023,0,19
20,3/11/2023,0,20
21,6/3/2023,0,21
22,4/16/2023,0,22
23,5/11/2023,0,23
24,7/22/2023,0,24
25,2/19/2023,0,25
26,3/9/2023,0,26
27,5/31/2023,0,27
28,2/10/2023,0,28
29,5/18/2023,0,29
30,2/19/2023,0,30
31,3/9/2023,0,31
32,6/22/2023,0,32
33,3/27/2023,0,33
34,4/25/2023,0,34
35,6/20/2023,0,35
36,2/8/2023,0,36
37,4/25/2023,0,37
38,7/20/2023,0,38
39,7/28/2023,0,39
40,2/25/2023,0,40
41,4/17/2023,0,41
42,2/15/2023,0,42
43,4/13/2023,0,43
44,7/26/2023,0,44
45,8/3/2023,0,45
46,7/18/2023,0,46
47,3/1/2023,0,47
48,2/9/2023,0,48
49,8/3/2023,0,49
50,5/27/2023,0,50
51,4/15/2023,0,51
52,5/1/2023,0,52
53,8/2/2023,0,53
54,3/19/2023,0,54
55,2/10/2023,0,55
56,5/3/2023,0,56
57,6/17/2023,0,57
58,7/26/2023,0,58
59,2/25/2023,0,59
60,4/9/2023,0,60
61,7/18/2023,0,61
62,8/2/2023,0,62
63,5/13/2023,0,63
64,7/13/2023,0,64
65,5/4/2023,0,65
66,7/18/2023,0,66
67,2/12/2023,0,67
68,8/12/2023,0,68
69,4/26/2023,0,69
70,2/5/2023,0,70
71,4/20/2023,0,71
72,7/10/2023,0,72
73,3/15/2023,0,73
74,7/4/2023,0,74
75,2/20/2023,0,75
76,6/20/2023,0,76
77,2/23/2023,0,77
78,2/26/2023,0,78
79,4/21/2023,0,79
80,8/6/2023,0,80
81,6/19/2023,0,81
82,7/23/2023,0,82
83,6/8/2023,0,83
84,6/21/2023,0,84
85,6/16/2023,0,85
86,3/15/2023,0,86
87,6/14/2023,0,87
88,8/4/2023,0,88
89,3/16/2023,0,89
90,3/28/2023,0,90
91,5/29/2023,0,91
92,8/2/2023,0,92
93,7/27/2023,0,93
94,7/10/2023,0,94
95,3/1/2023,0,95
96,2/8/2023,0,96
97,3/7/2023,0,97
98,4/9/2023,0,98
99,3/7/2023,0,99
100,3/25/2023,0,100
101,7/22/2023,0,101
102,7/4/2023,0,102
103,3/18/2023,0,103
104,7/19/2023,0,104
105,2/17/2023,0,105
106,8/9/2023,0,106
107,2/7/2023,0,107
108,8/4/2023,0,108
109,8/6/2023,0,109
110,2/22/2023,0,110
111,3/26/2023,0,111
112,5/10/2023,0,112
113,6/24/2023,0,113
114,6/15/2023,0,114
115,2/14/2023,0,115
116,5/9/2023,0,116
117,7/14/2023,0,117
118,8/5/2023,0,118
119,4/5/2023,0,119
120,3/28/2023,0,120
121,4/17/2023,0,121
122,5/3/2023,0,122
123,4/16/2023,0,123
124,5/9/2023,0,124
125,7/28/2023,0,125
126,4/13/2023,0,126
127,5/9/2023,0,127
128,3/16/2023,0,128
129,6/4/2023,0,129
130,5/12/2023,0,130
131,5/16/2023,0,131
132,7/4/2023,0,132
133,6/11/2023,0,133
134,3/21/2023,0,134
135,7/9/2023,0,135
136,6/18/2023,0,136
137,6/20/2023,0,137
138,4/11/2023,0,138
139,3/24/2023,0,139
140,8/12/2023,0,140
141,6/3/2023,0,141
142,4/7/2023,0,142
143,7/17/2023,0,143
144,4/21/2023,0,144
145,6/25/2023,0,145
146,6/28/2023,0,146
147,4/15/2023,0,147
148,8/4/2023,0,148
149,7/23/2023,0,149
150,5/12/2023,0,150
151,6/16/2023,0,151
152,6/15/2023,0,152
153,6/4/2023,0,153
154,5/18/2023,0,154
155,2/7/2023,0,155
156,6/14/2023,0,156
157,8/13/2023,0,157
158,4/14/2023,0,158
159,3/24/2023,0,159
160,7/19/2023,0,160
161,4/3/2023,0,161
162,3/3/2023,0,162
163,7/14/2023,0,163
164,2/5/2023,0,164
165,8/9/2023,0,165
166,6/14/2023,0,166
167,3/25/2023,0,167
168,6/28/2023,0,168
169,3/4/2023,0,169
170,3/25/2023,0,170
171,8/8/2023,0,171
172,5/12/2023,0,172
173,7/30/2023,0,173
174,8/2/2023,0,174
175,4/4/2023,0,175
176,7/15/2023,0,176
177,6/12/2023,0,177
178,3/6/2023,0,178
179,2/25/2023,0,179
180,4/13/2023,0,180
181,5/1/2023,0,181
182,2/25/2023,0,182
183,6/13/2023,0,183
184,3/6/2023,0,184
185,5/3/2023,0,185
186,4/30/2023,0,186
187,5/7/2023,0,187
188,7/16/2023,0,188
189,6/11/2023,0,189
190,3/10/2023,0,190
191,5/14/2023,0,191
192,5/11/2023,0,192
193,3/3/2023,0,193
194,7/21/2023,0,194
195,6/26/2023,0,195
196,7/31/2023,0,196
197,5/13/2023,0,197
198,8/3/2023,0,198
199,5/31/2023,0,199
200,6/7/2023,0,200
