movie_id,title,director,release_date,duration
1,Dick Johnson Is Dead,Kirsten Johnson,9/25/2021,90
2,My Little Pony: A New Generation,"Robert Cullen, José Luis Ucha",9/24/2021,91
3,Sankofa,Haile Gerima,9/24/2021,125
4,The Starling,Theodore Melfi,9/24/2021,104
5,Je Suis Karl,Christian Schwochow,9/23/2021,127
6,Confessions of an Invisible Girl,Bruno Garotti,9/22/2021,91
7,Europe's Most Dangerous Man: Otto Skorzeny in Spain,"Pedro de Echave García, Pablo Azorín Williams",9/22/2021,67
8,Intrusion,Adam Salky,9/22/2021,94
9,Avvai Shanmughi,K.S. Ravikumar,9/21/2021,161
10,Go! Go! Cory Carson: Chrissy Takes the Wheel,"Alex Woo, Stanley Moore",9/21/2021,61
11,Jeans,S. Shankar,9/21/2021,166
12,Minsara Kanavu,Rajiv Menon,9/21/2021,147
13,Grown Ups,Dennis Dugan,9/20/2021,103
14,Dark Skies,Scott Stewart,9/19/2021,97
15,Paranoia,Robert Luketic,9/19/2021,106
16,Ankahi Kahaniya,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary",9/17/2021,111
17,The Father Who Moves Mountains,Daniel Sandu,9/17/2021,110
18,The Stronghold,Cédric Jimenez,9/17/2021,105
19,Birth of the Dragon,George Nolfi,9/16/2021,96
20,Jaws,Steven Spielberg,9/16/2021,124
21,Jaws 2,Jeannot Szwarc,9/16/2021,116
22,Jaws 3,Joe Alves,9/16/2021,98
23,Jaws: The Revenge,Joseph Sargent,9/16/2021,91
24,My Heroes Were Cowboys,Tyler Greco,9/16/2021,23
25,Safe House,Daniel Espinosa,9/16/2021,115
26,Training Day,Antoine Fuqua,9/16/2021,122
27,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Toshiya Shinohara,9/15/2021,99
28,InuYasha the Movie 3: Swords of an Honorable Ruler,Toshiya Shinohara,9/15/2021,99
29,InuYasha the Movie 4: Fire on the Mystic Island,Toshiya Shinohara,9/15/2021,88
30,InuYasha the Movie: Affections Touching Across Time,Toshiya Shinohara,9/15/2021,100
31,Naruto Shippuden the Movie: Blood Prison,Masahiko Murata,9/15/2021,102
32,Naruto Shippûden the Movie: Bonds,Hajime Kamegaki,9/15/2021,93
33,Naruto Shippûden the Movie: The Will of Fire,Masahiko Murata,9/15/2021,96
34,Naruto Shippuden: The Movie,Hajime Kamegaki,9/15/2021,95
35,Naruto Shippuden: The Movie: The Lost Tower,Masahiko Murata,9/15/2021,85
36,Naruto the Movie 2: Legend of the Stone of Gelel,Hirotsugu Kawasaki,9/15/2021,97
37,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Toshiyuki Tsuru,9/15/2021,95
38,Naruto the Movie: Ninja Clash in the Land of Snow,Tensai Okamura,9/15/2021,83
39,Nightbooks,David Yarovesky,9/15/2021,103
40,Schumacher,"Hanns-Bruno Kammertöns, Vanessa Nöcker, Michael Wech",9/15/2021,113
41,A StoryBots Space Adventure,David A. Vargas,9/14/2021,13
42,King of Boys,Kemi Adetiba,9/14/2021,182
43,You vs. Wild: Out Cold,Ben Simms,9/14/2021,106
44,Little Singham - Black Shadow,Prakash Satam,9/11/2021,48
45,Tughlaq Durbar,Delhiprasad Deenadayalan,9/11/2021,145
46,Tughlaq Durbar (Telugu),Delhiprasad Deenadayalan,9/11/2021,145
47,Firedrake the Silver Dragon,Tomer Eshed,9/10/2021,93
48,Kate,Cedric Nicolas-Troyan,9/10/2021,106
49,Omo Ghetto: the Saga,"JJC Skillz, Funke Akindele",9/10/2021,147
50,Prey,Thomas Sieben,9/10/2021,87
51,Blood Brothers: Malcolm X & Muhammad Ali,Marcus Clarke,9/9/2021,96
52,Paradise Hills,Alice Waddington,9/9/2021,95
53,The Women and the Murderer,"Mona Achache, Patricia Tourancheau",9/9/2021,92
